GL계정,당년_백만원,전년_백만원,차이_백만원,설명
지급수수료_법률자문료,49.0,473.0,-424.0,"전년 대비 424백만원 감소. 주요 변동: BCLP 모빈 소송 대응 법률비용(-266백만원), Movin 관련 법무법인 율촌 법률자문료(-120백만원), 모빈 분쟁 조정 비용(-64백만원)으로 법률자문 비용이 크게 축소됨."
복리후생비_건강검진,189.0,0.0,189.0,전년 대비 189백만원 증가. 주요 변동: 25년 임직원 및 배우자 종합건강검진 정산의건(+189백만원)으로 인해 복리후생비가 크게 증가.
급료와임금,1313.0,1197.0,116.0,"전년 대비 116백만원 증가. 주요 변동: 디지털본부_e-BIZ팀 급여(-137백만원), 디지털본부_Web Platform팀 급여(+115백만원), 디지털본부_Enterprise Solution팀 급여(+92백만원)으로 특정 팀의 급여 조정이 전체 급여 비용에 영향을 미침."
지급수수료_기타,224.0,120.0,104.0,"전년 대비 104백만원 증가. 주요 변동: 25.12월 자산운용서비스 수수료(HC) +200백만원, 24.12월 자산운용서비스 수수료(HC) -90백만원, 홈핏 정기 수업료 정산의 건 +3백만원으로 자산운용 관련 비용이 크게 증가함."
지급수수료_인사채용,0.0,102.0,-102.0,전년 대비 102백만원 감소. 주요 변동: 지급수수료_인사채용(-102백만원)으로 인사채용 관련 비용이 전년의 102백만원에서 당년 0백만원으로 줄어들었다.
제수당,453.0,373.0,79.0,"전년 대비 79백만원 증가. 주요 변동: 공통 HR팀 제수당(-72백만원), 디지털본부 e-BIZ팀 제수당(-40백만원), 디지털본부 Web Platform팀 제수당(+37백만원)으로 부서별 제수당 조정이 이루어짐."
지급수수료_컨설팅,62.0,132.0,-70.0,"전년 대비 70백만원 감소. 주요 변동: 정보보호인증 갱신심사 컨설팅 중도금(+41백만원)으로 신규 지출이 발생한 반면, 연결시스템 구축 회계자문 용역 잔금(-40백만원) 및 한-중 APA 용역수수료 중도금(-40백만원)으로 기존 지출이 감소."
복리후생비_기타,1.0,56.0,-55.0,"전년 대비 55백만원 감소. 주요 변동: 공통 조식비(-26백만원), 외식사업부 기타매출(-17백만원), 공통 조식비용 정산(-11백만원)으로 복리후생비 지출이 크게 축소."
복리후생비_직원구매,0.0,53.0,-53.0,"전년 대비 53백만원 감소. 주요 변동: 디지털본부 IT담당 직원구매분(-6백만원), e-BIZ팀 직원구매분(-6백만원), HR팀 직원구매분(-4백만원)으로 인해 복리후생비 지출이 전반적으로 축소."
지급수수료_그룹CI사용료,307.0,357.0,-50.0,"전년 대비 50백만원 감소. 주요 변동: 그룹브랜드(CI)사용료에서 전년 357백만원에서 당년 0백만원으로 감소, 반면 25.12결산에서 그룹브랜드(CI)사용료가 307백만원 발생."
지급수수료_IT유지보수비,109.0,155.0,-46.0,"전년 대비 46백만원 감소. 주요 변동: 24년 하반기 EAI 유지보수비용(-30백만원), WP팀 인프라 운영비용(-22백만원), AWS MSP 비용(-20백만원)으로 인해 IT 유지보수비 지출이 축소됨."
복리후생비_직원식대,54.0,9.0,45.0,"전년 대비 45백만원 증가. 주요 변동: 임직원 식대 정산(조식)_공통(+8백만원), 외식사업부 현금매출(임원식대)(+2백만원), 임직원 식대 정산(조식)_공통_Enterprise Solution팀(+2백만원)으로 인해 복리후생비 지출이 크게 증가."
여비교통비_해외출장비,12.0,55.0,-43.0,"전년 대비 43백만원 감소. 주요 변동: 해외출장비(-20백만원), 숙박비(-8백만원), 항공료(-2백만원)로 인해 전체 여비교통비 지출이 크게 축소."
지급수수료_IT사용료,654.0,684.0,-30.0,"전년 대비 30백만원 감소. 주요 변동: 2024년 SAP MA 비용(-133백만원), AWS Cloud 비용 FNF통합 24.11(-71백만원), PLM 솔루션 연간 라이센스 비용(-42백만원)으로 IT 사용료 지출이 전반적으로 축소."
잡급,31.0,6.0,25.0,"전년 대비 25백만원 증가. 주요 변동: 마케팅본부 인플루언서마케팅팀 잡급(+5백만원), MLB마케팅팀 잡급(+4백만원), DV/ST마케팅팀 잡급(+3백만원)으로 마케팅 관련 인력 확충이 두드러짐."
퇴직급여충당금전입액,255.0,232.0,23.0,"전년 대비 23백만원 증가. 주요 변동: 퇴직급여 반영(+256백만원)으로 당년 신규 적립이 이루어졌으며, 이전 연도에는 해당 항목이 없었던 점이 반영됨. 또한, CC대체 항목에서 Process 팀장 겸직 퇴직급여 안분으로 -1백만원 감소가 발생함."
차량유지비_차량유지,8.0,25.0,-18.0,"전년 대비 18백만원 감소. 주요 변동: 법인차량 정비(-23백만원)로 인해 당년에는 정비 비용이 발생하지 않았으며, 법인차량 정비 및 세차 정산(+7백만원)으로 일부 비용이 발생하여 총 비용이 감소함."
보험료_재산종합보험료,35.0,52.0,-16.0,"전년 대비 16백만원 감소. 주요 변동: 24.12월에 가입한 2024 물류센터 재산종합보험으로 -52백만원, 25.12월의 25년 재산종합보험료로 +35백만원 발생."
임원급여,273.0,289.0,-15.0,전년 대비 15백만원 감소. 주요 변동: 24.12월_공통_임원_급여(-289백만원)와 25.12월_공통_임원_급여(+273백만원)로 인해 임원급여가 전반적으로 축소됨.
감가상각비_공기구비품,76.0,62.0,14.0,"전년 대비 14백만원 증가. 주요 변동: AFB/01/2025/012/01(+76백만원)으로 당년 신규 발생, AFB/01/2024/012/01(-62백만원)으로 전년 발생 비용 소멸."
도서인쇄비,33.0,47.0,-14.0,"전년 대비 14백만원 감소. 주요 변동: 24.12 양식 인쇄비(-45백만원)로 인해 대규모 인쇄 비용이 감소하였고, 26년 다이어리 제작(+32백만원)으로 새로운 제품 제작 비용이 발생하였다. 또한, 24.12 임직원 도서구입비(국내)(-2백만원)와 25.12 임직원 도서 구매(+1백만원)에서 소폭의 변동이 있었다."
감가상각비_소프트웨어,616.0,630.0,-13.0,"전년 대비 13백만원 감소. 주요 변동: AFB/01/2024/012/01에서 629백만원 감소, AFB/01/2025/012/01에서 616백만원 증가, AFB/01/2024/012/04에서 변동 없음."
소모품비_MRO(사무용품),3.0,16.0,-13.0,"전년 대비 13백만원 감소. 주요 변동: 문구/토너/식음료 구입비(-16백만원), 사무용품 구입비_공통_공통(+3백만원)으로 사무용품 관련 지출이 크게 축소됨."
복리후생비_총무지원,24.0,11.0,13.0,"전년 대비 13백만원 증가. 주요 변동: 10주년 장기근속으로 구창수 차장과 김선희 차장 각각 6백만원 증가, 동호회 지원금 항목에서 꽃꽂이 동호회 지원금(-5백만원), 비즈동호회 활동 지원금(-4백만원) 및 필라리맘보 지원금(-3백만원) 감소."
소모품비_전산소모품,15.0,3.0,12.0,"전년 대비 12백만원 증가. 주요 변동: 디지털본부 사업부 어도비 프로그램(+4백만원), 공통 사업부 어도비 프로그램(+3백만원), 공간기획팀 소프트웨어 갱신_AutoCAD(+2백만원)으로 소모품비가 크게 증가."
지급수수료_지급용역비,271.0,282.0,-11.0,"전년 대비 11백만원 감소. 주요 변동: 24년 12월 영업관리/고객관리 도급비용 정산(-127백만원), 25년 12월 영업관리/고객관리 도급비용 정산(+127백만원), 24.12월 파견직 도급비(-35백만원)로 인해 지급수수료 및 지급용역비가 감소."
보험료_배상책임보험료,11.0,1.0,10.0,"전년 대비 10백만원 증가. 주요 변동: 임원배상책임보험료(+10백만원)로 신규 발생, 개인정보보호배상책임보험료(-1백만원)로 전년 대비 감소."
복리후생비_의료보험,77.0,67.0,10.0,"전년 대비 10백만원 증가. 주요 변동: 25.12월 건강보험 회사부담분 공통_임원(+7백만원), 25.12월 건강보험 회사부담분 디지털본부_Web Platform팀(+6백만원), 24.12월 건강보험 회사부담분 디지털본부_e-BIZ팀(-6백만원)으로 인해 복리후생비 지출이 증가."
소모품비_기타,2.0,9.0,-7.0,"전년 대비 7백만원 감소. 주요 변동: 배관테프론 테이프 외 구매(-5백만원), 이천 코인건전지 외 구매(-5백만원), 피트니스 세탁 정산의 건(+2백만원)으로 소모품비의 전반적인 지출이 축소됨."
지급수수료_보안,10.0,3.0,7.0,"전년 대비 7백만원 증가. 주요 변동: 25년 12월 이천 A/B동 보안 용역료(+8백만원), 24.12 사옥 보안 용역료(-2백만원), 25년 12월 역삼 사옥 보안 용역료(+2백만원)로 보안 서비스 비용이 크게 증가함."
세금과공과_국민연금,62.0,55.0,6.0,"전년 대비 6백만원 증가. 주요 변동: 25.12월 국민연금 회사부담분 디지털본부_Web Platform팀(+6백만원), 24.12월 국민연금 회사부담분 디지털본부_e-BIZ팀(-7백만원), 25.12월 국민연금 회사부담분 디지털본부_e-BIZ팀(+4백만원)으로 부서별 부담금 조정이 이루어짐."
지급수수료_공사비,0.0,6.0,-6.0,"전년 대비 6백만원 감소. 주요 변동: 사옥 공조기 휀 교체 공사(-5백만원), 자리이동 전기공사(-1백만원), 사업부 자리이동 통신 공사(-1백만원)로 인해 관련 지급수수료가 전년 대비 전액 소진됨."
지급수수료_렌탈료(차량),13.0,19.0,-6.0,"전년 대비 6백만원 감소. 주요 변동: 24.12 법인차량 렌탈료(-19백만원)로 전년 대비 0백만원으로 감소, 25.12 법인차량 렌탈료_공통_공통(+13백만원)으로 전년 대비 증가."
지급수수료_매장보수대,0.0,6.0,-6.0,"전년 대비 6백만원 감소. 주요 변동: 집기 이동 및 폐기 비용(-5백만원), 집기 이동 및 폐기 전표(-1백만원)로 인해 매장 보수대 지급 수수료가 전년 대비 전액 소진됨."
복리후생비_회의비,12.0,17.0,-5.0,"전년 대비 5백만원 감소. 주요 변동: 회의비(-2백만원), 24.12 공통 총무팀 회의비(-2백만원), 외부미팅(-1백만원)으로 복리후생비 지출이 축소됨."
복리후생비_근속지원,-5.0,0.0,-5.0,"전년 대비 5백만원 감소. 주요 변동: 장기근속 7주년 여행 지원금(+5백만원), 25.11 7주년 장기근속 포상(-5백만원), 25.11 5주년 장기근속 포상(-2백만원)으로 인해 복리후생비의 전반적인 지출이 감소."
소모품비_부서,17.0,13.0,5.0,"전년 대비 5백만원 증가. 주요 변동: 25년 12월 공통 이천물류 리본 외 구입대(+11백만원), 24년 12월 공통 이천물류 리본 외 구입대(-6백만원), 전기차 화재예방 장비 구매(+2백만원)로 인해 소모품비가 증가."
지급수수료_온라인몰운영비,208.0,213.0,-5.0,"전년 대비 5백만원 감소. 주요 변동: 자사몰 FE 개발 및 운영비용(+60백만원)과 자사몰 Frontend 개발 및 운영 비사이드(-60백만원)로 인해 온라인몰 운영비의 구조가 변화하였으며, 운영대행사 외주용역 수수료에서 전년 대비 -45백만원 감소가 발생하였다."
복리후생비_고용보험,31.0,27.0,4.0,"전년 대비 4백만원 증가. 주요 변동: 25.12월 고용보험 회사부담분 공통_임원(+3백만원)과 25.12월 고용보험 회사부담분 디지털본부_Web Platform팀(+2백만원)으로 인해 복리후생비가 증가하였으며, 24.12월 고용보험 회사부담분 공통_임원(-3백만원)과 디지털본부_e-BIZ팀(-3백만원)에서 감소가 발생."
복리후생비_위탁보육료,4.0,0.0,4.0,전년 대비 4백만원 증가. 주요 변동: 25.11월 임직원 위탁 보육료 지원(+4백만원)으로 새로운 복리후생 항목이 추가됨.
지급수수료_물류운송비,13.0,9.0,4.0,"전년 대비 4백만원 증가. 주요 변동: 25.12 공통 행낭비(+6백만원), DHL 12월(+4백만원), 24.12 공통 행낭비(-7백만원)으로 물류운송비 지출이 전반적으로 증가."
세금과공과_장애인고용부담금,4.0,0.0,4.0,전년 대비 4백만원 증가. 주요 변동: 2024년 장애인고용부담금 추가 납부(+4백만원)로 인해 장애인 고용 관련 비용이 발생.
지급수수료_리스료(차량),1.0,5.0,-4.0,"전년 대비 4백만원 감소. 주요 변동: 24.12 법인차량 리스료 선급금 정산(-5백만원), 25.12 법인차량 리스료 선급금 정산(+1백만원)으로 리스료 지출이 크게 축소됨."
지급수수료_폐기물처리,24.0,20.0,4.0,"전년 대비 4백만원 증가. 주요 변동: 25년 하자 및 불용재고 폐기 처리 비용(+17백만원), 24년 하자재고 폐기 처리 비용(-9백만원), 24년 하자재고 폐기 처리 비용 납부(-6백만원)로 인해 폐기물 처리 비용이 증가."
여비교통비_시내교통비,13.0,9.0,3.0,"전년 대비 3백만원 증가. 주요 변동: 교통비(+1백만원), 임직원 야근교통비_공통_Enterprise Solution팀(+1백만원), 임직원 야근교통비_공통_DX마케팅팀(+1백만원)으로 인해 여비교통비 항목이 증가."
복리후생비_MRO,4.0,7.0,-3.0,"전년 대비 3백만원 감소. 주요 변동: 문구/토너/식음료 구입비(-7백만원)에서 당년 0백만원으로 감소하였고, 식음료 구입비_공통_공통(+4백만원)에서 당년 4백만원으로 증가. 전반적으로 복리후생비 지출이 축소됨."
복리후생비_기타지원,0.0,3.0,-3.0,전년 대비 3백만원 감소. 주요 변동: 사고발생 공상처리 비용 지급의 건(-3백만원)으로 인해 복리후생비_기타지원 항목이 전년의 3백만원에서 당년 0백만원으로 줄어들었다.
지급수수료_퀵서비스,8.0,6.0,3.0,"전년 대비 3백만원 증가. 주요 변동: 퀵서비스 사용료_공통(+8백만원)으로 신규 발생, 퀵 서비스 사용료(-6백만원)로 전년 대비 지출 감소."
소모품비_샘플대,3.0,0.0,3.0,"전년 대비 3백만원 증가. 주요 변동: DX, MLB 해외 매뉴얼 샘플 제작 정산의 건_설이기획(+2백만원)으로 인해 소모품비가 증가하였으며, 해당 항목은 당년 2백만원으로 집계됨."
여비교통비_국내출장비,2.0,5.0,-3.0,"전년 대비 3백만원 감소. 주요 변동: 출장비용 절감(-2백만원), 교통비 최적화(-1백만원)로 전체적인 여비교통비 지출 축소."
복리후생비_부서,17.0,15.0,3.0,"전년 대비 3백만원 증가. 주요 변동: 비즈동호회 활동비(+3백만원)와 부서비(+2백만원)가 신규 발생하였으며, 직원식사 비용은 전년 대비 2백만원 감소."
소모품비_MRO(전산소모품),1.0,3.0,-3.0,"전년 대비 3백만원 감소. 주요 변동: 문구/토너/식음료 구입비(-3백만원)로 전년 3백만원에서 당년 0백만원으로 감소하였으며, 전산용품 구입비(+1백만원)로 전년 0백만원에서 당년 1백만원으로 증가."
복리후생비_사내행사,0.0,2.0,-2.0,전년 대비 2백만원 감소. 주요 변동: 24.12 다이어리 해외 배송료(-2백만원)로 인해 사내행사 관련 복리후생비가 전반적으로 축소됨.
통신비_CRM,1.0,3.0,-2.0,"전년 대비 2백만원 감소. 주요 변동: 11월 CRM 캠페인 운영비용(-3백만원), 2025.11 CRM 캠페인 운영비용(+1백만원)으로 인해 전체 통신비 지출이 축소됨."
접대비_일반,25.0,27.0,-2.0,"전년 대비 2백만원 감소. 주요 변동: 접대비(-12백만원), 회장님 지인 선물건(+6백만원), 25.12 본사 직원구매 마감(+4백만원)으로 접대비 지출이 전반적으로 축소됨."
수선비_기타,-1.0,-3.0,2.0,"전년 대비 2백만원 증가. 주요 변동: 24.12월 수선비-잡이익 대체(+3백만원), 25.12월 고객관리팀 유상수선비 대체(-1백만원)로 수선비 항목에서 긍정적인 변화가 나타남."
복리후생비_산재보험,15.0,13.0,2.0,"전년 대비 2백만원 증가. 주요 변동: 25.12월 산재보험 회사부담분 공통_임원(+2백만원), 24.12월 산재보험 회사부담분 공통_HR팀(-1백만원), 25.12월 산재보험 회사부담분 디지털본부_Web Platform팀(+1백만원)으로 인해 복리후생비가 증가."
소모품비_사무용품,2.0,3.0,-2.0,"전년 대비 200백만원 감소. 주요 변동: 비서실물품(-100백만원), 임직원 행사 참석 지원(-100백만원)으로 사무용품 비용이 축소됨."
지급수수료_물류용역비,1.0,0.0,1.0,전년 대비 1백만원 증가. 주요 변동: DV 12월 완제품검사/라벨교체 작업_레드박스(+1백만원)으로 물류용역비 지출이 발생.
복리후생비_회식대,27.0,29.0,-1.0,"전년 대비 1백만원 감소. 주요 변동: IT 송년회(-3백만원), 회식비-2025IT송년회(+3백만원), 사업운영지원 12월 전체 회식비(-2백만원)로 복리후생비 지출이 전반적으로 축소됨."
지급수수료_렌탈료(차량제외),5.0,4.0,1.0,"전년 대비 1백만원 증가. 주요 변동: 코웨이 정수기, 청정기, 비데 차액(+2백만원), 공용 복합기 렌탈료(+2백만원)로 신규 비용 발생이 있었으나, 정수기, 청정기, 비데 렌탈료(-2백만원)와 칼라복사기 렌탈료(-2백만원) 감소로 상쇄됨."
지급수수료_교육훈련,3.0,2.0,1.0,"전년 대비 1백만원 증가. 주요 변동: 스마트러닝 FUTUBE 년간 이용료(+2백만원)로 신규 비용 발생, F&F 스마트러닝 FUTUBE 년간 이용(-2백만원)으로 비용 감소, 공시담당자 상장회사협의회 교육 수강료(+1백만원)로 추가 지출 발생."
